age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income,GD,GD_proba
23,2,3,1,4,1,1,50,0.0,0,0.58364975
20,2,3,3,0,1,1,40,0.0,0,0.58532697
32,2,3,1,4,1,0,20,0.0,0,0.5837896
64,2,6,0,4,1,0,12,0.0,0,0.58347464
28,2,1,1,2,1,1,40,0.0,0,0.5840336
47,0,6,1,0,1,1,40,0.0,0,0.5837932
37,2,7,0,5,1,0,40,0.0,0,0.58432865
47,3,3,1,0,1,1,48,0.0,0,0.58348566
59,1,6,0,1,1,0,40,0.0,0,0.58471286
22,2,7,3,2,1,0,20,0.0,0,0.58318204
47,2,6,1,0,1,1,40,1.0,0,0.5829086
26,2,0,3,4,1,1,40,0.0,0,0.584664
44,2,0,1,2,1,1,50,1.0,0,0.58325803
33,2,3,3,0,1,0,40,0.0,0,0.58449286
46,2,7,0,5,1,0,40,0.0,0,0.5840511
50,2,1,1,0,1,1,40,0.0,0,0.5842606
44,2,5,1,2,1,1,50,1.0,0,0.5881458
21,2,3,3,0,1,1,40,0.0,0,0.5852956
33,2,7,0,0,1,1,40,0.0,0,0.5842557
28,2,7,3,0,1,1,50,0.0,0,0.5871003
29,2,1,1,5,1,1,50,1.0,0,0.58367676
41,0,3,1,0,0,1,40,0.0,0,0.58397305
19,2,6,3,4,1,0,40,0.0,0,0.5843301
62,2,1,1,3,1,1,20,1.0,0,0.58373034
50,2,3,1,0,1,1,45,1.0,0,0.58413875
21,0,7,3,4,1,1,40,0.0,0,0.58336985
60,2,3,1,3,1,1,40,1.0,0,0.58388084
30,2,7,1,0,1,1,40,0.0,0,0.5842807
47,2,3,1,3,1,1,50,1.0,0,0.5836596
52,0,1,4,5,1,0,55,0.0,0,0.58384395
36,2,5,3,5,1,1,50,1.0,0,0.5872254
67,1,6,4,1,0,0,40,0.0,0,0.58599347
25,2,1,1,5,1,1,40,1.0,0,0.58337176
22,2,6,2,4,1,0,35,0.0,0,0.5856424
49,2,6,2,0,1,1,38,0.0,0,0.58460623
38,2,4,1,0,0,1,40,1.0,0,0.5832848
54,3,3,1,3,0,1,40,0.0,0,0.58436644
63,2,1,1,5,1,1,40,0.0,0,0.5834156
67,1,6,4,1,1,0,35,0.0,0,0.58448964
22,2,7,3,0,1,1,35,0.0,0,0.58722264
39,0,1,3,5,1,1,45,0.0,0,0.5838263
31,2,1,1,3,1,1,60,0.0,0,0.58460605
57,2,7,1,0,1,1,40,1.0,0,0.58426505
22,2,1,3,2,1,1,40,0.0,0,0.5850416
42,2,0,1,5,1,1,40,1.0,0,0.58409554
19,2,3,3,4,1,0,20,0.0,0,0.5845258
17,0,6,3,4,1,1,30,0.0,0,0.59104425
28,3,7,1,0,1,1,55,0.0,0,0.58324885
46,0,3,0,2,1,0,40,0.0,0,0.5834828
45,2,7,0,0,1,1,56,1.0,0,0.5840424
20,2,7,2,3,0,0,40,0.0,0,0.58786374
32,2,3,3,4,0,0,40,0.0,0,0.584627
67,2,3,4,5,1,0,16,1.0,0,0.5855793
52,2,3,1,0,0,1,40,1.0,0,0.58401036
35,2,3,1,3,1,1,44,0.0,0,0.5836764
43,2,3,0,5,1,0,58,0.0,0,0.58483344
29,2,0,3,0,1,1,40,0.0,0,0.58456516
42,2,7,1,2,1,1,40,1.0,0,0.5841744
68,1,3,4,1,1,1,32,0.0,0,0.58423555
29,2,3,2,4,0,0,30,0.0,0,0.5840685
40,2,7,0,5,1,1,40,0.0,0,0.5842669
30,2,1,1,3,1,1,20,0.0,0,0.58350694
61,3,7,1,5,1,1,50,1.0,0,0.5851181
46,2,7,1,0,0,1,40,0.0,0,0.584326
51,2,3,1,0,1,1,40,0.0,0,0.58402467
42,2,1,1,5,1,1,40,1.0,0,0.5832579
25,2,6,3,0,0,1,40,0.0,0,0.5850308
49,2,1,1,3,1,1,50,1.0,0,0.5843919
58,2,6,1,0,1,1,40,1.0,0,0.5827364
56,3,1,1,3,1,1,50,1.0,0,0.58318937
51,3,1,0,0,1,1,50,0.0,0,0.58351976
66,1,6,3,1,1,1,30,0.0,0,0.58438385
38,2,3,1,3,1,1,55,1.0,0,0.5835641
53,3,7,4,3,1,0,60,0.0,0,0.5862041
17,2,6,3,4,1,0,30,0.0,0,0.58732784
28,0,0,1,5,1,1,60,0.0,0,0.58366364
37,3,5,1,2,1,1,50,1.0,0,0.5857241
29,2,3,1,0,1,1,40,0.0,0,0.5840034
57,2,0,4,2,1,0,40,0.0,0,0.5839623
27,0,4,3,2,1,0,40,0.0,0,0.5834533
28,2,3,1,0,1,1,40,0.0,0,0.5839909
31,2,6,3,4,1,1,40,0.0,0,0.5841794
37,2,7,1,0,0,1,40,0.0,0,0.58434474
39,2,3,0,5,1,0,40,0.0,0,0.5851947
34,3,0,1,0,1,1,45,0.0,0,0.5841333
32,2,0,1,4,1,1,40,0.0,0,0.58402985
59,3,4,1,5,1,1,80,1.0,0,0.5839305
42,2,3,1,0,1,1,40,0.0,0,0.584062
47,0,2,0,2,1,1,50,1.0,0,0.58586806
26,0,1,3,2,0,0,35,0.0,0,0.58453816
39,2,3,3,3,0,0,40,0.0,0,0.5846405
37,2,3,3,4,1,0,35,1.0,0,0.5843051
33,2,4,1,4,1,1,15,0.0,0,0.5831886
45,2,7,1,0,1,1,40,1.0,0,0.5843285
62,1,3,1,1,1,1,18,0.0,0,0.5844079
58,0,6,1,0,1,1,40,0.0,0,0.5840546
50,3,3,1,5,1,1,32,0.0,0,0.5838047
26,2,1,3,3,0,1,20,0.0,0,0.58427167
41,0,3,1,0,1,1,40,1.0,0,0.58397305
36,2,7,3,4,0,0,40,0.0,0,0.5832566
47,1,3,2,1,0,0,32,0.0,0,0.5846637
48,0,1,0,2,1,0,60,0.0,0,0.58424366
63,3,3,1,0,1,1,45,0.0,0,0.58343667
31,2,6,3,4,1,0,20,0.0,0,0.5849098
23,2,7,3,5,1,1,20,0.0,0,0.5848963
36,2,6,1,0,1,1,40,0.0,0,0.58334726
27,2,3,3,0,0,1,40,0.0,0,0.58457994
24,2,3,3,4,1,1,35,0.0,0,0.58426845
41,3,3,1,3,1,0,40,0.0,0,0.5842048
25,2,3,3,0,1,0,40,0.0,0,0.5846026
55,2,3,1,0,1,1,40,1.0,0,0.5839454
51,2,4,1,5,1,1,50,1.0,0,0.58443904
20,2,7,3,2,1,0,40,0.0,0,0.5830866
19,2,3,3,4,1,0,40,0.0,0,0.5847797
42,3,3,0,0,1,1,40,0.0,0,0.5839993
36,2,1,3,5,0,0,40,0.0,0,0.5837738
46,2,3,1,4,1,1,50,0.0,0,0.58377624
19,1,3,3,1,1,1,30,0.0,0,0.5851396
22,2,7,3,4,0,0,32,0.0,0,0.5832223
33,0,3,0,5,1,0,40,0.0,0,0.58344406
20,2,3,3,0,1,1,40,0.0,0,0.58532697
44,2,7,1,5,1,0,45,1.0,0,0.5835909
39,2,1,3,5,0,0,35,0.0,0,0.58359766
62,2,0,0,4,1,1,40,0.0,0,0.5839588
55,2,1,1,5,1,1,42,1.0,0,0.58366174
24,1,1,3,1,1,1,40,0.0,0,0.58625895
34,2,6,3,4,0,1,40,0.0,0,0.5841444
38,3,4,1,2,0,1,60,1.0,0,0.5835764
51,2,6,1,0,1,1,40,0.0,0,0.58283126
42,2,4,3,5,1,1,45,1.0,0,0.58420223
17,1,6,3,1,0,1,20,0.0,0,0.5862478
26,1,1,3,1,1,0,80,0.0,0,0.58603615
31,3,6,1,0,1,1,40,0.0,0,0.5830573
52,2,0,0,4,1,0,40,0.0,0,0.5840579
53,2,4,1,5,1,1,55,1.0,0,0.5845371
29,2,1,1,3,1,1,40,1.0,0,0.5839242
67,1,3,4,1,1,0,8,0.0,0,0.585341
20,3,3,0,3,1,0,30,0.0,0,0.5835525
31,2,3,3,0,1,1,40,1.0,0,0.5845335
31,2,7,3,5,0,0,35,0.0,0,0.58482605
42,0,7,1,5,1,0,40,0.0,0,0.5844047
23,2,0,1,0,1,0,30,0.0,0,0.5838517
24,2,7,3,3,1,1,20,0.0,0,0.58351487
18,0,3,3,4,1,1,60,0.0,0,0.58325255
23,2,3,3,0,1,1,40,0.0,0,0.5849434
57,0,2,0,2,1,1,60,1.0,0,0.58570886
34,2,2,1,2,1,1,60,1.0,0,0.5857233
44,2,7,1,0,1,1,40,1.0,0,0.5843306
22,2,0,3,2,1,1,30,0.0,0,0.5846651
52,2,7,1,5,1,1,45,1.0,0,0.58355606
47,2,3,0,0,1,0,43,0.0,0,0.58398646
24,2,7,3,0,1,1,50,0.0,0,0.586956
36,0,7,0,5,1,0,65,0.0,0,0.5845191
32,3,7,0,4,1,0,35,0.0,0,0.5836195
70,3,7,1,5,1,1,30,0.0,0,0.58444405
31,2,3,3,3,1,1,48,0.0,0,0.58510965
52,2,7,1,5,1,1,55,1.0,0,0.58334905
40,2,1,3,3,1,0,45,0.0,0,0.58452123
61,1,6,1,1,1,1,40,1.0,0,0.58387035
50,0,1,1,5,1,1,40,1.0,0,0.5833779
53,2,7,1,5,1,1,50,1.0,0,0.5834607
36,2,3,3,4,1,1,40,0.0,0,0.5845517
57,2,7,3,0,1,1,42,0.0,0,0.58352816
28,2,3,1,4,1,1,40,0.0,0,0.583757
49,2,1,1,5,1,1,40,1.0,0,0.5832444
33,2,6,3,0,0,1,40,0.0,0,0.5846347
39,3,2,0,5,0,1,40,0.0,0,0.5853082
62,2,6,4,0,1,0,40,0.0,0,0.58533674
54,2,6,1,4,0,0,40,1.0,0,0.5835839
46,2,3,1,0,1,1,35,0.0,0,0.58393
42,0,7,1,0,1,1,40,1.0,0,0.58361083
24,2,1,3,3,1,1,40,0.0,0,0.583957
52,2,2,1,5,1,1,57,1.0,0,0.5840881
44,2,3,3,5,1,0,43,0.0,0,0.5849857
41,3,7,0,0,1,0,40,0.0,0,0.58368695
19,2,3,3,0,1,1,30,0.0,0,0.5854023
69,0,3,1,4,1,1,40,0.0,0,0.583567
59,0,6,4,4,0,0,30,0.0,0,0.58431286
31,2,3,1,3,1,1,50,1.0,0,0.5835773
21,2,7,3,5,1,0,40,0.0,0,0.58462477
55,2,7,1,4,0,1,40,1.0,0,0.5831443
45,2,3,1,5,0,1,40,1.0,0,0.58469754
26,2,3,1,0,1,1,50,0.0,0,0.58424515
48,0,4,1,2,1,0,40,1.0,0,0.58437777
43,2,0,1,5,1,1,48,1.0,0,0.5845998
42,2,4,1,2,1,1,50,1.0,0,0.58518165
32,2,3,1,0,0,1,40,0.0,0,0.58403
31,2,1,1,0,0,1,36,0.0,0,0.5847479
57,2,3,1,0,1,1,40,0.0,0,0.5838976
38,2,7,1,3,1,0,40,1.0,0,0.5829071
39,0,1,0,5,1,0,35,0.0,0,0.58379847
51,2,1,1,5,1,1,55,0.0,0,0.58382785
35,0,7,1,4,1,1,40,0.0,0,0.5842057
25,2,7,3,4,1,0,40,0.0,0,0.58308595
31,2,1,3,2,0,0,40,0.0,0,0.58479744
43,2,6,0,0,1,0,40,0.0,0,0.5838274
38,0,1,1,5,1,1,40,1.0,0,0.5836071
64,3,3,1,5,1,1,45,1.0,0,0.58381146
45,3,1,1,5,1,1,51,0.0,0,0.58353376
48,3,0,1,4,1,0,15,0.0,0,0.58366686
25,2,1,3,2,1,1,40,0.0,0,0.584866
38,0,1,1,2,1,0,20,1.0,0,0.5840972
38,2,1,1,4,1,1,35,0.0,0,0.58428496
24,2,0,3,5,1,1,40,0.0,0,0.58461094
45,2,3,0,5,1,0,46,0.0,0,0.58508646
51,2,3,1,4,1,1,50,1.0,0,0.5837492
22,2,3,3,0,1,1,35,0.0,0,0.5854098
44,2,3,2,5,1,0,40,0.0,0,0.58422273
50,2,3,1,0,1,1,40,1.0,0,0.58403456
47,0,7,3,4,0,1,40,0.0,0,0.58351237
24,2,4,3,5,1,1,56,0.0,0,0.5852575
44,2,3,1,0,1,1,41,0.0,0,0.5841496
23,0,3,3,4,1,0,40,0.0,0,0.5839852
32,2,1,1,0,1,1,40,1.0,0,0.58432704
27,3,7,1,5,1,1,40,0.0,0,0.58477175
35,2,3,1,4,0,0,20,0.0,0,0.5837751
24,2,6,1,3,1,1,40,0.0,0,0.58411634
27,2,3,1,0,1,1,40,0.0,0,0.5839767
61,0,5,1,2,1,1,50,1.0,0,0.5857323
35,0,1,1,2,1,1,50,0.0,0,0.58422405
27,2,1,3,2,1,0,20,0.0,0,0.5850982
43,2,1,1,2,1,1,40,1.0,0,0.58393675
26,2,3,3,5,0,1,40,0.0,0,0.58460695
32,2,6,1,0,1,1,40,1.0,0,0.5835858
45,2,6,1,4,1,0,32,0.0,0,0.5832626
51,2,3,1,5,0,0,38,0.0,0,0.5845884
41,3,0,0,3,1,1,60,0.0,0,0.5835408
43,3,1,1,2,1,1,21,0.0,0,0.5840333
34,0,1,3,2,1,1,48,0.0,0,0.58448434
17,2,6,3,4,1,1,48,0.0,0,0.5874019
50,3,4,1,2,1,0,40,1.0,0,0.5837306
20,1,6,3,1,1,1,40,0.0,0,0.58668107
73,0,6,0,4,0,0,40,0.0,0,0.5838891
44,0,4,1,2,0,1,60,1.0,0,0.5839782
33,2,3,3,0,1,1,40,0.0,0,0.58449286
67,3,2,1,3,1,1,40,1.0,0,0.5844603
29,2,3,1,0,1,1,50,0.0,0,0.5842565
47,2,4,0,3,1,1,60,1.0,0,0.5840594
22,2,7,0,0,1,0,40,0.0,0,0.58432823
43,2,1,0,5,1,1,35,0.0,0,0.5836792
37,2,1,1,2,1,1,39,1.0,0,0.58404875
18,2,6,3,4,0,1,8,0.0,0,0.5855585
31,2,3,1,0,1,1,65,0.0,0,0.584361
41,3,7,1,0,1,1,50,1.0,0,0.5827891
47,2,3,0,4,1,0,32,0.0,0,0.5839673
34,2,3,1,5,1,1,40,0.0,0,0.5848673
47,2,3,1,0,1,1,40,1.0,0,0.58405346
54,0,3,1,0,1,1,40,0.0,0,0.58395535
55,2,3,1,4,1,1,40,0.0,0,0.58376044
48,2,7,0,2,1,0,20,0.0,0,0.5832559
63,3,3,1,5,1,1,40,0.0,0,0.58390635
52,2,6,1,0,1,1,40,0.0,0,0.5828188
26,2,3,1,2,0,1,40,0.0,0,0.5845527
60,2,7,0,0,1,1,47,0.0,0,0.5842526
34,3,7,3,0,1,1,60,0.0,0,0.5841298
43,3,5,1,2,0,1,99,1.0,0,0.5873597
43,2,3,0,5,1,0,40,0.0,0,0.58520573
62,2,2,1,2,1,1,40,1.0,0,0.5855564
43,2,4,1,2,1,0,45,1.0,0,0.58531725
41,2,0,1,4,1,0,38,1.0,0,0.5839862
31,2,7,3,2,1,1,40,0.0,0,0.5833112
35,2,6,2,0,0,1,40,0.0,0,0.58573693
24,3,3,0,0,1,1,50,0.0,0,0.5835475
29,0,1,1,2,1,1,50,1.0,0,0.58422285
60,2,7,1,3,1,1,55,0.0,0,0.5826558
31,2,3,1,5,1,0,40,1.0,0,0.5849107
27,2,3,1,2,1,1,45,1.0,0,0.58475065
24,2,7,3,3,1,0,15,0.0,0,0.5841884
19,2,7,3,0,1,1,55,0.0,0,0.5852183
41,0,1,1,5,1,1,50,1.0,0,0.58366424
22,2,0,3,0,1,1,50,0.0,0,0.5842512
37,2,1,0,5,1,1,40,0.0,0,0.583769
61,2,6,1,0,1,1,40,0.0,0,0.58269525
18,2,7,3,3,1,0,25,0.0,0,0.58316797
47,0,7,0,2,1,0,40,0.0,0,0.5838366
34,2,3,1,4,1,0,65,0.0,0,0.5836084
47,2,3,1,0,1,1,40,1.0,0,0.58405346
36,3,2,1,2,1,1,35,0.0,0,0.5856901
65,2,1,1,4,1,1,20,0.0,0,0.58407575
44,2,1,1,2,0,1,50,1.0,0,0.5836394
17,2,6,3,3,1,0,12,0.0,0,0.58642364
53,2,1,1,3,1,1,50,1.0,0,0.5842956
42,2,7,1,4,1,1,20,1.0,0,0.58339643
37,2,3,3,0,0,1,40,0.0,0,0.5844299
33,3,1,1,2,1,1,60,0.0,0,0.58413
29,2,3,3,5,1,1,40,0.0,0,0.5848311
29,2,3,0,4,1,0,45,0.0,0,0.584129
38,3,7,1,0,1,1,38,0.0,0,0.5833023
70,2,6,1,0,1,1,32,0.0,0,0.5828027
47,2,3,1,0,1,1,48,0.0,0,0.5841706
20,3,7,3,0,1,1,10,0.0,0,0.58421236
33,2,1,1,5,1,1,60,1.0,0,0.5840611
33,2,3,1,4,1,1,40,0.0,0,0.58375084
57,0,3,0,5,1,0,40,0.0,0,0.5831206
39,3,1,1,5,1,1,40,1.0,0,0.58377504
27,2,6,3,5,1,0,45,0.0,0,0.58429754
26,2,4,3,2,0,1,20,0.0,0,0.5840438
38,3,7,1,0,1,0,15,0.0,0,0.5843102
34,3,0,3,0,1,1,50,0.0,0,0.58344084
56,0,1,1,2,1,1,40,1.0,0,0.5841485
25,2,3,1,0,1,1,40,0.0,0,0.58393824
62,0,3,1,4,1,1,40,0.0,0,0.5834625
39,0,7,0,2,1,0,45,0.0,0,0.5840066
38,2,3,3,2,1,1,40,0.0,0,0.58460647
51,3,3,3,3,1,1,40,0.0,0,0.5834881
22,1,7,3,1,1,1,72,0.0,0,0.5870335
33,0,2,1,2,0,1,50,0.0,0,0.58565503
50,3,7,1,5,1,1,50,1.0,0,0.5851485
46,2,6,1,4,0,1,37,0.0,0,0.5832537
37,0,3,1,0,1,1,40,0.0,0,0.58402246
29,0,7,3,4,1,0,10,0.0,0,0.58356035
50,2,3,1,0,1,1,40,1.0,0,0.58403456
40,3,7,1,0,1,1,50,0.0,0,0.58280414
24,2,1,3,3,1,0,15,0.0,0,0.5841003
38,0,3,1,0,1,1,20,0.0,0,0.58467793
35,2,1,1,5,1,1,47,1.0,0,0.58367217
51,2,0,0,4,1,1,40,0.0,0,0.58405966
31,3,1,3,4,1,0,40,0.0,0,0.58438504
29,2,1,1,2,1,1,40,1.0,0,0.5840278
40,2,1,1,5,1,1,50,1.0,0,0.583834
46,2,0,2,0,0,0,40,0.0,0,0.5845307
37,2,3,0,5,1,0,12,0.0,0,0.58440834
29,2,3,3,0,1,1,50,0.0,0,0.5843876
61,2,3,1,0,1,1,40,1.0,0,0.5837876
31,2,3,3,4,1,0,40,0.0,0,0.58464044
20,1,7,3,1,1,0,40,0.0,0,0.5868247
37,2,4,2,5,1,1,60,1.0,0,0.58313084
72,1,6,4,1,1,0,20,0.0,0,0.58452594
41,0,3,0,2,0,0,40,0.0,0,0.5834966
55,0,7,3,5,1,1,40,0.0,0,0.5839099
27,2,7,3,0,0,1,40,0.0,0,0.5876568
53,0,7,3,4,1,0,40,0.0,0,0.5836862
46,2,1,1,5,1,1,35,1.0,0,0.5831947
35,0,3,3,4,1,1,40,0.0,0,0.5838032
45,0,4,0,2,1,0,55,0.0,0,0.58452344
41,0,2,1,2,1,1,50,1.0,0,0.58562297
36,2,3,1,0,1,1,40,1.0,0,0.5840503
62,3,4,0,2,1,0,32,0.0,0,0.58472866
25,1,3,1,1,1,0,4,0.0,0,0.58521354
47,2,6,3,4,1,0,40,0.0,0,0.58385736
45,1,3,2,1,1,0,10,0.0,0,0.5854719
55,2,3,1,3,1,1,40,0.0,0,0.58391756
58,2,3,1,0,1,1,20,0.0,0,0.58366394
48,2,6,1,4,1,0,40,0.0,0,0.5836248
22,3,3,3,4,1,1,40,0.0,0,0.5834817
64,3,3,1,0,1,1,45,1.0,0,0.5834296
52,3,4,1,5,0,1,40,0.0,0,0.584617
32,2,1,1,5,0,0,40,1.0,0,0.58325833
60,2,3,1,4,1,0,40,1.0,0,0.5837535
54,2,4,1,2,0,1,40,1.0,0,0.5853473
50,0,6,3,4,1,1,40,0.0,0,0.5842017
31,2,3,3,4,1,1,50,0.0,0,0.5847411
45,2,3,0,5,0,0,40,0.0,0,0.5851733
27,0,3,1,0,1,1,40,0.0,0,0.584374
36,2,3,1,5,1,1,50,1.0,0,0.5844742
38,2,6,1,3,1,1,50,0.0,0,0.583529
57,2,4,1,2,1,0,40,0.0,0,0.5853512
52,0,7,2,5,1,0,40,0.0,0,0.5848149
53,2,5,3,2,1,0,40,0.0,0,0.58720666
36,2,6,2,4,0,0,35,0.0,0,0.58470696
19,2,6,3,0,1,1,40,0.0,0,0.5845345
27,3,1,3,2,1,0,40,0.0,0,0.5844971
45,0,0,0,5,0,1,40,0.0,0,0.58388484
40,2,2,1,5,0,1,40,1.0,0,0.58407557
34,2,3,3,5,1,0,40,0.0,0,0.58522767
60,3,1,0,2,1,0,30,0.0,0,0.58392704
51,2,3,1,3,0,1,50,0.0,0,0.58365875
22,3,3,3,2,1,0,40,1.0,0,0.58361185
57,2,6,1,0,0,1,40,1.0,0,0.5827503
23,2,3,3,5,1,0,40,0.0,0,0.5845914
50,2,0,1,0,1,1,45,0.0,0,0.58314556
32,2,7,1,2,1,1,38,1.0,0,0.5836003
46,2,1,3,3,1,1,40,0.0,0,0.58435214
21,1,7,3,1,1,0,40,0.0,0,0.58535683
21,2,6,2,3,0,0,38,0.0,0,0.58553594
31,2,1,1,5,1,1,40,0.0,0,0.58326364
22,2,3,3,3,1,1,55,0.0,0,0.584865
34,2,6,0,0,1,1,40,0.0,0,0.5841736
37,2,6,1,4,1,1,40,0.0,0,0.58356696
18,2,6,3,3,1,1,15,0.0,0,0.58503586
47,2,0,1,0,1,1,40,0.0,0,0.5833701
53,0,4,1,2,1,1,36,1.0,0,0.58448344
32,3,1,1,4,0,1,50,1.0,0,0.58414364
48,2,7,3,5,1,0,40,1.0,0,0.5837535
45,0,4,1,2,1,1,50,1.0,0,0.5840298
34,3,1,1,3,0,1,55,0.0,0,0.58316594
19,1,3,3,1,0,1,30,0.0,0,0.5851396
30,2,3,1,0,1,1,40,0.0,0,0.5840142
38,2,1,3,3,1,0,45,1.0,0,0.58453125
49,3,6,1,4,1,1,70,0.0,0,0.5837701
37,2,3,1,5,1,1,50,1.0,0,0.58450615
25,2,3,0,5,1,1,40,0.0,0,0.58523643
49,2,6,1,0,0,1,42,1.0,0,0.5830929
37,0,1,3,2,1,0,45,0.0,0,0.58448917
22,0,0,3,4,1,1,20,0.0,0,0.5842771
42,2,4,3,2,1,0,50,1.0,0,0.5844407
28,3,7,1,5,1,0,30,1.0,0,0.5843612
48,2,7,0,5,1,0,40,0.0,0,0.58400124
34,2,3,1,0,1,1,40,0.0,0,0.58404315
22,2,7,3,0,1,1,30,0.0,0,0.5871173
33,2,6,3,0,0,1,60,0.0,0,0.5850054
40,2,3,0,5,1,1,40,0.0,0,0.58520824
24,2,3,3,5,1,1,40,0.0,0,0.5845582
59,2,3,1,0,1,1,40,1.0,0,0.58383906
41,2,7,1,5,1,1,50,1.0,0,0.5835221
47,3,7,1,3,1,1,80,0.0,0,0.58406365
34,2,1,3,4,1,1,40,0.0,0,0.5847466
34,2,7,2,4,0,0,37,0.0,0,0.58365434
21,2,7,3,0,1,1,30,0.0,0,0.58699846
71,3,1,1,5,1,1,60,1.0,0,0.5832725
30,3,1,1,3,1,1,70,0.0,0,0.58340824
48,0,4,2,2,1,1,60,0.0,0,0.5855206
45,2,3,1,0,1,1,40,0.0,0,0.5840602
47,3,3,1,0,1,1,45,1.0,0,0.5834956
30,2,7,1,2,0,0,5,1.0,0,0.5829972
34,2,1,3,5,1,1,50,0.0,0,0.58412045
37,2,7,0,5,1,0,40,1.0,0,0.58432865
61,2,3,1,5,1,0,5,0.0,0,0.5846533
19,0,7,3,3,1,0,16,0.0,0,0.5828901
53,2,1,0,5,1,1,70,0.0,0,0.5835923
51,2,3,1,0,1,1,40,0.0,0,0.58402467
39,2,3,1,0,1,1,40,0.0,0,0.5840579
43,2,1,1,0,1,1,48,1.0,0,0.58392906
40,1,3,3,1,1,0,4,0.0,0,0.5853873
42,0,3,0,5,0,0,40,0.0,0,0.58328635
51,3,3,1,0,1,1,60,0.0,0,0.58340114
43,3,5,1,2,1,1,40,1.0,0,0.5855885
30,2,7,3,0,1,0,40,0.0,0,0.5872125
21,2,3,3,0,1,1,40,0.0,0,0.5852956
20,2,6,1,0,1,1,40,0.0,0,0.5842816
28,2,1,1,2,1,1,45,0.0,0,0.5838886
50,2,3,1,0,1,1,15,0.0,0,0.5837495
60,2,1,1,5,1,1,35,1.0,0,0.5832107
37,2,3,0,3,1,0,40,0.0,0,0.58442473
49,2,6,1,4,0,0,16,0.0,0,0.58318365
47,2,1,3,3,0,1,60,1.0,0,0.58457494
28,2,3,3,5,1,1,40,0.0,0,0.58474845
22,2,7,3,3,1,0,20,0.0,0,0.5835144
32,0,7,3,5,0,0,40,0.0,0,0.5835174
33,2,3,1,0,1,1,40,0.0,0,0.5840381
23,2,3,3,0,1,1,40,0.0,0,0.5849434
25,2,7,3,5,1,0,45,0.0,0,0.5829702
