,c_charge_degree,age_cat,race,gender,score_text,priors_count,two_year_recid,MetaFair,GerryFair
4068,0,2,0,1,1,-0.6843577587219684,0,1,0.0
472,0,2,1,1,2,-0.05194930134332058,1,0,0.002004008016032064
202,0,2,1,1,1,-0.6843577587219684,0,1,0.0
555,0,1,1,1,0,3.53169862380235,0,0,1.0000000000000009
4167,1,0,1,1,0,1.002064794287759,0,0,0.002004008016032064
443,0,0,0,1,1,0.15885351778289533,1,1,0.0
5890,0,0,1,1,2,-0.05194930134332058,0,1,0.0
502,1,0,1,1,1,-0.6843577587219684,0,1,0.0
3188,1,2,1,0,1,-0.6843577587219684,0,1,0.0
3010,0,1,0,1,1,-0.05194930134332058,0,1,0.0
1687,1,1,0,1,1,-0.4735549395957524,1,1,0.0
4820,0,0,0,1,1,-0.6843577587219684,0,1,0.0
499,0,0,1,1,1,-0.4735549395957524,0,1,0.0
1142,1,1,1,1,1,-0.6843577587219684,0,1,0.0
5568,1,1,1,1,1,-0.6843577587219684,0,1,0.0
6027,1,2,1,0,1,-0.6843577587219684,0,1,0.0
737,0,0,1,1,0,-0.6843577587219684,1,1,0.0
1290,1,2,1,1,1,-0.6843577587219684,1,1,0.0
2948,0,0,1,0,2,1.6344732516664067,0,0,0.08216432865731467
4359,0,0,0,1,2,0.36965633690911126,1,1,0.0
2223,1,1,0,1,1,-0.6843577587219684,0,1,0.0
4440,0,0,1,1,1,-0.6843577587219684,0,1,0.0
2714,0,2,0,1,1,-0.2627521204695365,1,0,0.002004008016032064
2899,0,0,1,0,2,0.36965633690911126,1,1,0.0
3069,0,1,1,1,1,2.0560788899188385,0,0,0.9358717434869748
1726,1,2,1,0,1,-0.6843577587219684,0,1,0.0
4146,0,0,1,1,0,2.899290166423702,1,0,0.9779559118236482
130,0,1,1,0,1,-0.4735549395957524,1,1,0.0
1778,0,1,1,1,1,-0.2627521204695365,0,1,0.0
3154,0,2,1,1,2,0.5804591560353272,1,0,0.24048096192384788
1995,1,0,0,1,0,-0.4735549395957524,1,1,0.0
527,0,2,0,0,0,-0.2627521204695365,1,1,0.0
4284,1,0,1,0,1,-0.6843577587219684,0,1,0.0
5775,1,1,1,1,1,-0.6843577587219684,0,1,0.0
4725,0,0,0,1,1,-0.6843577587219684,1,1,0.0
1855,0,0,1,1,0,0.15885351778289533,0,0,0.002004008016032064
3150,1,1,0,0,1,-0.05194930134332058,0,1,0.0
733,0,2,1,1,1,-0.4735549395957524,1,0,0.002004008016032064
3412,1,0,0,1,1,-0.6843577587219684,0,1,0.0
2672,1,0,0,1,1,0.5804591560353272,1,1,0.0
2601,1,1,0,1,1,-0.6843577587219684,0,1,0.0
1941,0,2,0,1,2,-0.4735549395957524,1,1,0.0
1843,0,0,0,1,2,0.36965633690911126,1,1,0.0
2270,0,2,1,1,1,-0.6843577587219684,0,1,0.0
2382,1,1,1,1,1,-0.6843577587219684,1,1,0.0
620,0,2,1,1,0,0.5804591560353272,1,0,0.48496993987975995
4911,0,0,0,1,1,-0.05194930134332058,0,1,0.0
1122,1,2,0,0,1,-0.4735549395957524,0,1,0.0
3672,0,1,1,0,1,0.5804591560353272,0,0,0.002004008016032064
2009,0,0,1,1,1,-0.4735549395957524,0,1,0.0
5624,1,1,1,0,1,-0.2627521204695365,1,1,0.0
4621,1,0,1,1,1,-0.05194930134332058,0,1,0.0
3657,1,2,1,0,1,-0.2627521204695365,0,1,0.0
2694,1,0,0,1,1,-0.2627521204695365,0,1,0.0
6081,0,0,1,0,0,0.36965633690911126,0,1,0.0
5073,1,0,0,1,1,-0.6843577587219684,0,1,0.0
4590,1,2,1,1,2,-0.6843577587219684,1,1,0.0
263,0,2,1,1,0,1.2128676134139749,1,0,0.913827655310622
528,1,0,1,1,1,-0.4735549395957524,0,1,0.0
1001,0,0,1,0,1,0.5804591560353272,1,1,0.0
5640,1,0,0,1,1,-0.4735549395957524,0,1,0.0
4282,0,0,1,1,1,-0.6843577587219684,0,1,0.0
684,0,0,1,1,1,-0.6843577587219684,0,1,0.0
2972,0,1,0,1,1,0.7912619751615431,0,0,0.08216432865731467
4963,0,1,0,1,1,-0.4735549395957524,0,1,0.0
5082,1,2,1,0,1,-0.6843577587219684,1,1,0.0
4519,0,0,1,1,1,0.5804591560353272,1,0,0.002004008016032064
533,0,0,0,1,2,-0.05194930134332058,1,1,0.0
5040,1,0,1,0,2,-0.4735549395957524,1,1,0.0
5460,0,0,1,0,2,-0.6843577587219684,1,1,0.0
3990,0,0,0,1,1,0.15885351778289533,1,1,0.0
2178,0,2,1,0,0,-0.6843577587219684,1,1,0.0
5271,0,1,1,1,1,1.002064794287759,1,0,0.3446893787575153
1977,0,2,1,1,1,-0.4735549395957524,0,0,0.002004008016032064
5748,1,0,1,1,1,-0.2627521204695365,0,1,0.0
1083,0,1,1,1,1,-0.4735549395957524,0,1,0.0
2616,0,0,1,1,1,-0.6843577587219684,0,1,0.0
5422,1,0,1,1,1,-0.6843577587219684,0,1,0.0
3389,0,0,0,1,0,2.899290166423702,1,0,0.9619238476953916
3074,0,2,1,1,1,-0.4735549395957524,1,0,0.002004008016032064
4310,1,2,1,1,2,-0.6843577587219684,1,1,0.0
2841,0,0,1,1,2,0.36965633690911126,1,1,0.0
1702,0,2,1,1,2,-0.4735549395957524,0,1,0.0
3151,1,1,1,1,1,-0.4735549395957524,0,1,0.0
5292,0,0,1,1,1,-0.2627521204695365,0,1,0.0
4203,0,0,1,0,2,1.002064794287759,1,1,0.002004008016032064
2329,0,1,0,1,1,1.4236704325401908,0,0,0.4048096192384773
3149,0,0,0,1,1,-0.6843577587219684,0,1,0.0
4083,0,0,1,0,0,2.0560788899188385,0,0,0.6933867735470948
3823,0,2,1,1,0,-0.2627521204695365,0,0,0.002004008016032064
4721,0,0,0,1,0,2.688487347297486,1,0,0.9478957915831672
1460,0,0,1,1,2,1.2128676134139749,0,0,0.1803607214428859
206,0,0,0,1,1,-0.6843577587219684,1,1,0.0
462,0,1,0,1,2,-0.2627521204695365,1,1,0.0
5489,1,0,1,1,0,1.6344732516664067,0,0,0.3446893787575153
1568,1,0,1,1,1,-0.6843577587219684,1,1,0.0
5167,0,2,1,1,1,-0.6843577587219684,0,1,0.0
2118,0,0,0,1,1,-0.6843577587219684,0,1,0.0
2193,0,0,1,0,2,2.0560788899188385,0,0,0.31262525050100226
842,1,0,1,1,1,-0.6843577587219684,0,1,0.0
4390,0,0,1,1,1,-0.2627521204695365,1,1,0.0
949,1,0,1,1,2,0.15885351778289533,1,1,0.0
2211,0,0,0,1,1,-0.6843577587219684,0,1,0.0
2244,1,0,0,1,1,0.15885351778289533,0,1,0.0
394,0,2,1,0,0,0.5804591560353272,1,0,0.18236472945891796
2115,1,0,1,1,2,-0.4735549395957524,0,1,0.0
1014,0,0,1,0,1,-0.4735549395957524,0,1,0.0
2259,1,0,0,1,1,-0.2627521204695365,0,1,0.0
1718,0,0,0,1,1,-0.4735549395957524,0,1,0.0
3053,0,2,1,1,1,-0.4735549395957524,1,0,0.002004008016032064
2868,0,1,0,0,1,-0.2627521204695365,0,1,0.0
4917,1,0,1,1,1,-0.6843577587219684,1,1,0.0
4571,0,1,1,0,1,-0.4735549395957524,1,1,0.0
4276,0,0,1,1,1,-0.6843577587219684,0,1,0.0
4105,0,2,1,1,0,-0.05194930134332058,0,0,0.13026052104208424
2943,1,2,1,1,1,-0.6843577587219684,0,1,0.0
2505,0,0,0,1,0,1.2128676134139749,1,0,0.2565130260521044
4428,0,0,0,1,1,2.899290166423702,1,0,0.9478957915831672
5269,0,0,0,1,1,0.36965633690911126,0,0,0.0
3902,0,0,1,0,1,-0.6843577587219684,0,1,0.0
4479,1,0,1,1,2,-0.6843577587219684,0,1,0.0
1615,0,0,1,1,0,2.0560788899188385,1,0,0.9238476953907824
4436,0,0,1,1,1,-0.2627521204695365,0,1,0.0
2443,1,1,1,1,2,3.110092985549918,1,0,0.9599198396793596
982,0,2,1,1,1,-0.6843577587219684,0,1,0.0
4195,0,0,1,1,2,0.15885351778289533,1,1,0.0
4391,0,1,0,0,2,-0.6843577587219684,1,1,0.0
39,0,0,1,1,2,-0.6843577587219684,1,1,0.0
944,0,0,1,1,2,-0.4735549395957524,0,1,0.0
3411,0,0,0,1,1,-0.6843577587219684,1,1,0.0
3725,0,0,0,0,2,0.15885351778289533,0,1,0.0
1607,1,2,1,1,2,-0.2627521204695365,1,1,0.0
464,0,2,0,1,1,-0.2627521204695365,0,0,0.002004008016032064
15,0,0,0,1,2,0.5804591560353272,1,1,0.0
5029,1,0,1,0,2,-0.05194930134332058,0,1,0.0
4872,1,0,0,1,1,-0.6843577587219684,0,1,0.0
3605,1,0,0,1,2,0.15885351778289533,1,1,0.0
1953,1,0,1,1,1,-0.6843577587219684,0,1,0.0
2033,0,2,1,1,2,-0.4735549395957524,1,1,0.0
4731,0,0,1,1,1,-0.6843577587219684,0,1,0.0
1940,0,0,0,1,1,-0.4735549395957524,0,1,0.0
2111,1,2,1,1,2,-0.6843577587219684,0,1,0.0
535,0,0,0,1,2,-0.4735549395957524,0,1,0.0
4121,0,0,1,0,2,-0.6843577587219684,0,1,0.0
3654,0,0,1,1,2,0.5804591560353272,1,0,0.002004008016032064
5837,1,0,1,1,2,0.5804591560353272,1,1,0.0
5160,0,0,1,1,1,-0.4735549395957524,1,1,0.0
5020,1,0,1,1,1,-0.6843577587219684,0,1,0.0
539,0,0,0,0,1,-0.6843577587219684,1,1,0.0
3319,0,0,0,1,1,-0.2627521204695365,1,1,0.0
1427,0,2,1,1,2,-0.6843577587219684,0,1,0.0
3311,0,0,1,1,1,-0.2627521204695365,0,1,0.0
1692,0,0,1,1,0,2.2668817090450544,1,0,0.9398797595190389
5182,0,0,1,0,1,-0.6843577587219684,0,1,0.0
1564,1,0,0,1,1,-0.6843577587219684,0,1,0.0
3067,0,2,0,1,1,-0.6843577587219684,0,1,0.0
5781,1,1,0,1,1,-0.6843577587219684,0,1,0.0
3568,0,0,1,1,2,2.0560788899188385,1,0,0.7955911823647301
4660,0,0,0,0,2,-0.2627521204695365,1,1,0.0
2243,0,0,1,0,1,-0.4735549395957524,0,1,0.0
4879,0,0,0,1,1,-0.2627521204695365,0,1,0.0
2843,0,0,1,1,2,1.4236704325401908,1,0,0.2865731462925854
895,0,0,1,0,2,0.15885351778289533,1,1,0.0
509,0,0,1,1,1,-0.6843577587219684,0,1,0.0
6119,1,0,1,1,1,-0.6843577587219684,0,1,0.0
5350,1,0,1,0,0,4.1641070811809975,1,0,0.9879759519038085
5032,0,0,1,1,1,-0.2627521204695365,1,1,0.0
3073,0,0,1,1,2,-0.05194930134332058,1,1,0.0
1961,1,0,1,1,1,-0.2627521204695365,0,1,0.0
2262,1,2,0,1,0,-0.05194930134332058,1,0,0.0
4388,1,0,0,1,1,-0.05194930134332058,0,1,0.0
3071,1,0,1,1,1,-0.6843577587219684,0,1,0.0
572,0,1,1,1,0,2.899290166423702,1,0,0.9939879759519047
1984,0,1,1,1,1,-0.05194930134332058,0,0,0.002004008016032064
3682,1,1,0,1,1,-0.6843577587219684,0,1,0.0
4209,0,2,0,1,0,-0.6843577587219684,0,1,0.0
1596,1,0,1,0,1,-0.4735549395957524,1,1,0.0
735,0,0,1,1,1,0.36965633690911126,1,0,0.002004008016032064
2812,0,0,0,1,1,-0.05194930134332058,0,1,0.0
1116,0,0,1,1,1,-0.6843577587219684,1,1,0.0
4331,0,1,0,0,1,-0.2627521204695365,0,1,0.0
5900,0,0,1,1,1,0.15885351778289533,1,1,0.0
4416,1,0,1,1,1,-0.05194930134332058,1,1,0.0
98,0,0,0,1,1,-0.4735549395957524,1,1,0.0
4117,0,0,0,1,1,-0.6843577587219684,1,1,0.0
5548,1,0,1,1,1,-0.4735549395957524,0,1,0.0
5742,1,1,0,1,1,-0.6843577587219684,0,1,0.0
451,0,2,0,1,1,-0.6843577587219684,1,1,0.0
227,0,1,1,0,1,-0.6843577587219684,0,1,0.0
5313,1,0,1,1,1,-0.4735549395957524,0,1,0.0
317,1,0,1,1,1,-0.4735549395957524,0,1,0.0
4577,0,1,1,1,1,-0.4735549395957524,0,1,0.0
3267,0,1,0,1,1,-0.05194930134332058,0,1,0.0
2407,1,0,1,1,2,-0.4735549395957524,0,1,0.0
3324,1,0,1,1,1,-0.6843577587219684,1,1,0.0
6128,0,2,1,1,2,-0.6843577587219684,1,1,0.0
2374,1,1,0,1,1,-0.2627521204695365,0,1,0.0
5643,0,0,0,0,1,-0.6843577587219684,0,1,0.0
1580,0,2,0,1,1,-0.4735549395957524,1,1,0.0
4118,0,0,0,1,1,-0.6843577587219684,0,1,0.0
2149,1,1,1,1,1,-0.05194930134332058,1,1,0.0
4396,1,0,1,1,1,-0.6843577587219684,0,1,0.0
751,0,0,1,1,1,-0.4735549395957524,0,1,0.0
29,0,1,0,1,1,-0.6843577587219684,0,1,0.0
1281,0,2,1,0,2,-0.6843577587219684,1,1,0.0
3318,0,1,0,1,1,-0.6843577587219684,0,1,0.0
5702,1,0,1,1,1,-0.6843577587219684,0,1,0.0
1513,0,1,0,0,1,-0.6843577587219684,1,1,0.0
3861,1,0,0,1,1,-0.05194930134332058,1,1,0.0
1086,0,0,0,1,0,-0.2627521204695365,1,1,0.0
5828,0,0,1,1,2,-0.2627521204695365,0,1,0.0
5753,0,0,1,1,0,-0.2627521204695365,1,1,0.0
6123,0,0,1,1,2,0.7912619751615431,1,0,0.002004008016032064
1651,0,0,0,1,1,-0.4735549395957524,0,1,0.0
2894,0,1,0,1,1,2.0560788899188385,0,0,0.9078156312625258
5777,1,2,1,0,1,-0.4735549395957524,1,1,0.0
4668,0,0,0,1,1,-0.6843577587219684,0,1,0.0
1391,1,1,0,1,1,-0.2627521204695365,0,1,0.0
1526,0,0,1,1,0,1.8452760707926226,0,0,0.9018036072144296
1022,1,0,1,0,1,-0.6843577587219684,0,1,0.0
977,0,2,1,1,1,-0.6843577587219684,1,1,0.0
3108,1,0,0,1,1,-0.4735549395957524,0,1,0.0
4106,1,0,1,1,1,-0.6843577587219684,0,1,0.0
194,0,2,1,1,0,-0.2627521204695365,0,0,0.002004008016032064
5484,0,2,1,1,2,-0.05194930134332058,1,0,0.002004008016032064
3972,1,0,1,1,0,1.6344732516664067,1,0,0.3446893787575153
6117,1,0,1,1,1,-0.2627521204695365,0,1,0.0
1622,1,0,0,0,1,-0.6843577587219684,0,1,0.0
3169,0,0,1,1,2,-0.05194930134332058,0,1,0.0
3254,1,0,0,1,0,-0.6843577587219684,1,1,0.0
5166,0,1,0,1,1,0.5804591560353272,0,0,0.002004008016032064
5094,0,2,0,1,2,1.4236704325401908,0,0,0.5911823647294594
1008,1,2,1,1,0,-0.6843577587219684,1,1,0.0
3131,1,0,1,1,2,-0.6843577587219684,1,1,0.0
4154,1,0,1,1,0,0.36965633690911126,0,1,0.0
3736,0,2,1,0,1,-0.4735549395957524,0,1,0.0
2751,0,0,0,0,2,-0.2627521204695365,1,1,0.0
2388,1,0,1,1,1,0.15885351778289533,0,1,0.0
3916,1,1,1,1,1,0.15885351778289533,0,1,0.0
1696,0,0,0,1,0,0.7912619751615431,1,0,0.002004008016032064
2657,0,0,0,1,0,-0.2627521204695365,1,1,0.0
6033,1,0,1,0,1,-0.4735549395957524,0,1,0.0
3526,1,0,1,0,1,-0.2627521204695365,0,1,0.0
2916,0,2,1,1,2,-0.4735549395957524,1,1,0.0
5093,1,0,1,0,1,-0.4735549395957524,1,1,0.0
991,0,0,1,0,0,-0.05194930134332058,1,1,0.0
4463,0,0,0,1,1,-0.2627521204695365,0,1,0.0
2966,0,0,0,1,1,-0.4735549395957524,1,1,0.0
1220,1,2,1,0,2,-0.6843577587219684,0,1,0.0
