,Two_yr_Recidivism,Number_of_Priors,score_factor,Female,Misdemeanor,Age,Race
103,0,1,0,1,0,Age_Below_TwentyFive,Other
104,1,13,1,0,0,Age_Below_TwentyFive,
105,1,3,1,0,0,Age_Below_TwentyFive,African_American
106,0,3,1,0,1,Age_Above_FourtyFive,
107,1,19,1,0,0,Age_Below_TwentyFive,African_American
108,0,6,0,0,0,Age_Below_TwentyFive,
109,0,2,0,1,0,Age_Below_TwentyFive,
110,0,1,0,0,1,Age_Below_TwentyFive,
111,0,2,0,1,1,Age_Below_TwentyFive,Other
112,1,0,0,0,1,Age_Below_TwentyFive,
113,0,0,0,1,1,Age_Below_TwentyFive,African_American
114,1,10,0,1,0,Age_Below_TwentyFive,
115,1,2,0,0,1,Age_Below_TwentyFive,
116,1,3,1,0,0,Age_Below_TwentyFive,African_American
117,1,2,0,0,1,Age_Below_TwentyFive,
118,0,1,0,0,1,Age_Below_TwentyFive,African_American
119,1,1,0,0,0,Age_Above_FourtyFive,
120,0,1,1,1,0,Age_Below_TwentyFive,African_American
121,0,0,0,1,1,Age_Below_TwentyFive,
122,1,9,1,0,0,Age_Below_TwentyFive,African_American
123,1,11,1,0,0,Age_Below_TwentyFive,African_American
124,1,8,1,0,1,Age_Below_TwentyFive,African_American
125,1,0,0,1,0,Age_Below_TwentyFive,African_American
126,1,7,1,1,0,Age_Below_TwentyFive,African_American
127,1,2,1,0,0,Age_Below_TwentyFive,African_American
128,0,0,1,1,0,Age_Below_TwentyFive,African_American
129,0,0,1,1,1,Age_Below_TwentyFive,
130,1,1,0,1,0,Age_Above_FourtyFive,African_American
131,1,13,1,0,0,Age_Above_FourtyFive,Other
132,0,1,0,0,0,Age_Above_FourtyFive,Hispanic
133,1,4,1,1,0,Age_Below_TwentyFive,African_American
134,0,1,0,0,0,Age_Below_TwentyFive,Hispanic
135,1,2,0,1,1,Age_Below_TwentyFive,African_American
136,0,1,0,0,1,Age_Below_TwentyFive,
137,1,3,1,1,0,Age_Below_TwentyFive,
138,0,1,1,0,0,Age_Below_TwentyFive,African_American
139,0,2,0,0,1,Age_Above_FourtyFive,
140,0,1,0,0,0,Age_Below_TwentyFive,African_American
141,1,6,0,0,0,Age_Above_FourtyFive,
142,0,0,1,0,0,Age_Below_TwentyFive,
143,1,1,0,0,1,Age_Below_TwentyFive,African_American
144,0,0,0,0,0,Age_Below_TwentyFive,Hispanic
145,0,5,1,1,0,Age_Below_TwentyFive,African_American
146,0,2,0,0,1,Age_Above_FourtyFive,Hispanic
147,0,8,0,0,0,Age_Above_FourtyFive,African_American
148,1,8,1,0,0,Age_Below_TwentyFive,Hispanic
149,1,6,1,0,1,Age_Below_TwentyFive,African_American
150,0,2,0,0,0,Age_Above_FourtyFive,Hispanic
151,0,0,0,0,0,Age_Above_FourtyFive,Hispanic
152,1,1,0,0,1,Age_Above_FourtyFive,
153,0,0,0,0,0,Age_Above_FourtyFive,
154,0,0,0,0,0,Age_Below_TwentyFive,Other
155,1,1,1,0,0,Age_Below_TwentyFive,African_American
156,1,23,1,0,1,Age_Above_FourtyFive,African_American
157,1,0,0,0,1,Age_Below_TwentyFive,African_American
158,0,1,0,0,0,Age_Above_FourtyFive,Hispanic
159,0,3,0,0,0,Age_Above_FourtyFive,African_American
160,1,8,0,0,1,Age_Above_FourtyFive,
161,1,2,1,0,1,Age_Below_TwentyFive,African_American
162,1,0,0,0,0,Age_Below_TwentyFive,
163,1,9,1,0,0,Age_Below_TwentyFive,African_American
164,0,2,0,0,0,Age_Above_FourtyFive,
165,1,0,0,0,0,Age_Below_TwentyFive,African_American
166,0,2,0,0,1,Age_Below_TwentyFive,African_American
167,0,1,0,1,1,Age_Below_TwentyFive,African_American
168,1,2,0,0,1,Age_Below_TwentyFive,Other
169,0,1,0,0,0,Age_Above_FourtyFive,
170,0,0,0,1,1,Age_Below_TwentyFive,
171,0,4,0,0,1,Age_Below_TwentyFive,
172,1,23,1,1,0,Age_Below_TwentyFive,African_American
173,1,5,1,0,0,Age_Below_TwentyFive,Other
174,1,2,1,0,0,Age_Below_TwentyFive,African_American
175,0,0,0,0,1,Age_Below_TwentyFive,African_American
176,0,0,1,1,0,Age_Below_TwentyFive,African_American
177,1,7,1,1,0,Age_Below_TwentyFive,
178,0,2,0,0,0,Age_Below_TwentyFive,African_American
179,0,1,1,1,0,Age_Below_TwentyFive,African_American
180,1,7,0,0,0,Age_Above_FourtyFive,
181,0,15,1,0,0,Age_Below_TwentyFive,African_American
182,0,2,1,0,1,Age_Below_TwentyFive,African_American
183,1,0,0,1,1,Age_Above_FourtyFive,
184,0,0,0,0,1,Age_Above_FourtyFive,
185,1,1,0,0,1,Age_Below_TwentyFive,Other
186,0,0,0,0,0,Age_Above_FourtyFive,African_American
187,1,4,0,0,0,Age_Below_TwentyFive,
188,0,2,1,1,0,Age_Below_TwentyFive,African_American
189,0,5,1,1,1,Age_Below_TwentyFive,African_American
190,1,11,1,0,0,Age_Below_TwentyFive,African_American
191,0,0,0,0,1,Age_Below_TwentyFive,African_American
192,1,4,0,0,0,Age_Below_TwentyFive,Other
193,0,11,1,0,0,Age_Above_FourtyFive,African_American
194,0,2,1,0,0,Age_Below_TwentyFive,African_American
195,0,0,0,0,1,Age_Below_TwentyFive,African_American
196,0,0,0,0,0,Age_Above_FourtyFive,
197,1,13,0,0,0,Age_Below_TwentyFive,
198,0,0,0,0,0,Age_Above_FourtyFive,African_American
199,0,1,0,0,0,Age_Below_TwentyFive,
200,1,11,1,0,1,Age_Below_TwentyFive,African_American
201,0,1,1,0,0,Age_Below_TwentyFive,
202,0,0,0,0,0,Age_Below_TwentyFive,African_American
203,0,4,0,0,0,Age_Below_TwentyFive,African_American
204,0,4,0,0,0,Age_Below_TwentyFive,Hispanic
205,1,0,1,0,0,Age_Below_TwentyFive,
206,1,0,0,0,0,Age_Below_TwentyFive,
207,0,14,1,0,0,Age_Below_TwentyFive,African_American
208,0,1,0,0,1,Age_Above_FourtyFive,
209,1,25,1,0,0,Age_Below_TwentyFive,African_American
210,1,8,1,0,1,Age_Below_TwentyFive,
211,0,0,0,0,0,Age_Below_TwentyFive,African_American
212,1,1,1,0,1,Age_Below_TwentyFive,
213,0,0,0,1,1,Age_Below_TwentyFive,Other
214,0,3,0,1,0,Age_Below_TwentyFive,Other
215,0,0,0,1,1,Age_Below_TwentyFive,Hispanic
216,1,1,1,0,0,Age_Below_TwentyFive,Hispanic
217,1,5,1,1,0,Age_Below_TwentyFive,
218,0,0,1,0,1,Age_Below_TwentyFive,Hispanic
219,0,1,0,0,1,Age_Below_TwentyFive,African_American
220,1,1,1,0,0,Age_Below_TwentyFive,African_American
221,1,2,1,0,0,Age_Below_TwentyFive,African_American
222,0,0,0,0,0,Age_Below_TwentyFive,Other
223,0,4,0,0,0,Age_Below_TwentyFive,African_American
224,0,2,0,1,0,Age_Below_TwentyFive,African_American
225,0,0,1,0,0,Age_Below_TwentyFive,African_American
226,0,0,1,0,0,Age_Below_TwentyFive,Hispanic
227,0,0,0,1,0,Age_Above_FourtyFive,African_American
228,1,0,0,1,0,Age_Below_TwentyFive,African_American
229,0,0,0,1,0,Age_Above_FourtyFive,African_American
230,0,0,1,0,0,Age_Below_TwentyFive,
231,1,0,1,0,0,Age_Below_TwentyFive,
232,1,11,1,0,0,Age_Below_TwentyFive,African_American
233,1,3,1,0,1,Age_Below_TwentyFive,African_American
234,0,1,0,1,0,Age_Below_TwentyFive,
235,0,2,0,1,1,Age_Below_TwentyFive,African_American
236,0,0,0,1,0,Age_Below_TwentyFive,Other
237,1,3,1,0,0,Age_Above_FourtyFive,African_American
238,0,0,0,0,0,Age_Below_TwentyFive,African_American
239,0,3,0,0,0,Age_Below_TwentyFive,
240,0,1,0,0,1,Age_Above_FourtyFive,
241,0,3,0,0,0,Age_Above_FourtyFive,
242,1,0,1,0,1,Age_Below_TwentyFive,African_American
243,1,1,1,0,1,Age_Below_TwentyFive,African_American
244,1,3,0,0,0,Age_Below_TwentyFive,Hispanic
245,0,5,0,0,1,Age_Below_TwentyFive,
246,0,5,0,0,1,Age_Below_TwentyFive,African_American
247,1,0,1,0,0,Age_Below_TwentyFive,
248,1,5,0,0,0,Age_Below_TwentyFive,African_American
249,1,6,0,0,0,Age_Below_TwentyFive,African_American
250,0,0,0,0,0,Age_Below_TwentyFive,Other
251,0,2,0,0,0,Age_Above_FourtyFive,
252,0,0,1,1,1,Age_Below_TwentyFive,African_American
253,1,4,1,0,1,Age_Below_TwentyFive,African_American
254,0,0,0,0,0,Age_Above_FourtyFive,
255,0,5,0,0,0,Age_Below_TwentyFive,
256,1,2,0,0,0,Age_Below_TwentyFive,Other
257,0,5,0,1,0,Age_Below_TwentyFive,African_American
258,0,0,0,0,0,Age_Below_TwentyFive,Hispanic
259,0,0,0,0,1,Age_Below_TwentyFive,African_American
260,1,0,0,0,1,Age_Below_TwentyFive,
261,1,3,0,0,1,Age_Below_TwentyFive,
262,0,0,0,1,0,Age_Below_TwentyFive,
263,1,9,1,0,0,Age_Below_TwentyFive,Other
264,0,0,0,0,0,Age_Below_TwentyFive,African_American
265,1,0,1,0,0,Age_Below_TwentyFive,African_American
266,0,0,0,1,1,Age_Above_FourtyFive,
267,0,0,0,0,1,Age_Above_FourtyFive,
268,0,7,1,0,0,Age_Below_TwentyFive,African_American
269,1,0,1,0,0,Age_Below_TwentyFive,African_American
270,0,8,1,0,0,Age_Below_TwentyFive,
271,1,2,1,0,0,Age_Below_TwentyFive,African_American
272,1,36,1,0,0,Age_Above_FourtyFive,
273,1,2,0,0,1,Age_Below_TwentyFive,
274,0,3,1,0,0,Age_Below_TwentyFive,Hispanic
275,0,0,1,1,0,Age_Below_TwentyFive,African_American
276,1,2,0,1,1,Age_Below_TwentyFive,
277,0,1,0,1,1,Age_Below_TwentyFive,Hispanic
278,0,1,1,0,0,Age_Below_TwentyFive,
279,1,0,1,1,0,Age_Below_TwentyFive,African_American
280,0,0,0,0,1,Age_Below_TwentyFive,
281,0,0,0,0,0,Age_Below_TwentyFive,African_American
282,1,1,0,0,0,Age_Below_TwentyFive,Other
283,0,0,0,0,0,Age_Below_TwentyFive,African_American
284,0,0,1,1,1,Age_Below_TwentyFive,
285,0,1,0,0,1,Age_Above_FourtyFive,Hispanic
286,1,12,1,0,0,Age_Below_TwentyFive,African_American
287,0,1,1,0,0,Age_Below_TwentyFive,African_American
288,0,3,0,0,0,Age_Above_FourtyFive,African_American
289,0,0,0,0,0,Age_Below_TwentyFive,
290,1,2,1,0,0,Age_Below_TwentyFive,African_American
291,0,0,1,0,1,Age_Below_TwentyFive,Hispanic
292,0,0,0,0,1,Age_Below_TwentyFive,Other
293,0,0,1,1,0,Age_Below_TwentyFive,
294,0,0,0,0,1,Age_Above_FourtyFive,
295,0,2,1,0,0,Age_Below_TwentyFive,
296,1,6,1,0,1,Age_Below_TwentyFive,African_American
297,0,0,0,0,0,Age_Below_TwentyFive,
298,1,0,1,1,0,Age_Below_TwentyFive,African_American
299,0,3,1,0,0,Age_Above_FourtyFive,African_American
300,0,2,0,0,1,Age_Below_TwentyFive,African_American
301,0,0,0,1,1,Age_Above_FourtyFive,
302,1,3,1,0,0,Age_Below_TwentyFive,African_American
303,0,1,0,1,0,Age_Below_TwentyFive,Other
304,0,1,0,0,0,Age_Below_TwentyFive,Hispanic
305,0,0,0,0,0,Age_Below_TwentyFive,
306,0,1,0,0,0,Age_Below_TwentyFive,African_American
307,1,2,1,0,1,Age_Below_TwentyFive,
308,1,4,1,0,0,Age_Below_TwentyFive,African_American
309,1,0,1,0,0,Age_Below_TwentyFive,African_American
310,0,1,0,0,1,Age_Below_TwentyFive,
311,1,1,0,1,1,Age_Above_FourtyFive,
312,1,0,1,0,0,Age_Below_TwentyFive,
313,1,7,1,0,0,Age_Below_TwentyFive,African_American
314,0,1,0,1,1,Age_Above_FourtyFive,
315,0,0,0,1,0,Age_Below_TwentyFive,African_American
316,0,1,0,0,0,Age_Below_TwentyFive,African_American
317,0,1,0,0,1,Age_Below_TwentyFive,African_American
318,1,6,1,0,0,Age_Below_TwentyFive,African_American
319,1,4,1,0,0,Age_Below_TwentyFive,African_American
320,0,3,1,0,1,Age_Below_TwentyFive,
321,1,23,1,0,0,Age_Below_TwentyFive,African_American
322,0,2,1,0,0,Age_Below_TwentyFive,African_American
323,0,2,0,0,0,Age_Above_FourtyFive,African_American
324,0,7,0,0,0,Age_Below_TwentyFive,African_American
325,1,23,1,0,0,Age_Above_FourtyFive,
326,0,0,0,1,1,Age_Above_FourtyFive,
327,1,12,1,0,0,Age_Below_TwentyFive,African_American
328,0,5,1,0,0,Age_Below_TwentyFive,African_American
329,0,3,0,0,1,Age_Below_TwentyFive,
330,0,0,0,1,0,Age_Below_TwentyFive,Hispanic
331,1,14,1,0,0,Age_Below_TwentyFive,African_American
332,0,2,1,0,0,Age_Below_TwentyFive,African_American
333,1,0,1,0,1,Age_Below_TwentyFive,African_American
334,0,0,0,0,0,Age_Below_TwentyFive,
335,0,5,0,0,0,Age_Above_FourtyFive,African_American
336,1,9,1,0,0,Age_Below_TwentyFive,African_American
337,1,4,0,0,0,Age_Above_FourtyFive,
338,0,3,0,0,0,Age_Below_TwentyFive,African_American
339,0,4,0,0,0,Age_Above_FourtyFive,Other
340,0,1,0,0,1,Age_Below_TwentyFive,Hispanic
341,0,0,1,1,1,Age_Below_TwentyFive,
342,0,0,0,0,1,Age_Above_FourtyFive,
343,0,0,1,1,0,Age_Below_TwentyFive,African_American
344,0,11,1,0,0,Age_Above_FourtyFive,African_American
345,1,0,0,0,1,Age_Below_TwentyFive,
346,0,0,0,0,1,Age_Below_TwentyFive,Hispanic
347,0,0,0,0,0,Age_Below_TwentyFive,
348,0,2,0,1,1,Age_Above_FourtyFive,
349,1,7,0,0,1,Age_Below_TwentyFive,African_American
350,1,1,1,0,0,Age_Below_TwentyFive,
351,1,8,1,0,0,Age_Below_TwentyFive,African_American
352,0,1,0,0,0,Age_Below_TwentyFive,Other
353,1,0,1,0,0,Age_Below_TwentyFive,African_American
354,1,0,1,0,1,Age_Below_TwentyFive,
355,1,21,1,0,1,Age_Above_FourtyFive,African_American
356,0,3,1,0,0,Age_Below_TwentyFive,African_American
357,1,1,0,0,1,Age_Above_FourtyFive,Hispanic
358,0,0,0,0,0,Age_Below_TwentyFive,
359,1,1,1,0,0,Age_Above_FourtyFive,African_American
360,0,3,0,0,1,Age_Below_TwentyFive,
361,0,3,0,0,0,Age_Below_TwentyFive,African_American
362,1,3,1,0,0,Age_Below_TwentyFive,
363,0,0,0,0,0,Age_Below_TwentyFive,
364,0,2,1,0,0,Age_Below_TwentyFive,African_American
365,1,3,1,1,0,Age_Below_TwentyFive,African_American
366,1,1,1,0,0,Age_Below_TwentyFive,
367,0,2,0,0,1,Age_Below_TwentyFive,
368,0,0,1,1,0,Age_Below_TwentyFive,
369,0,0,0,0,1,Age_Below_TwentyFive,
370,1,2,1,0,0,Age_Below_TwentyFive,Hispanic
371,1,1,1,0,0,Age_Below_TwentyFive,African_American
372,1,1,0,0,1,Age_Below_TwentyFive,African_American
373,0,4,0,0,0,Age_Above_FourtyFive,
374,0,3,0,1,0,Age_Above_FourtyFive,African_American
375,0,1,0,0,1,Age_Below_TwentyFive,African_American
376,0,5,0,0,0,Age_Below_TwentyFive,African_American
377,0,0,0,0,1,Age_Below_TwentyFive,
378,1,2,1,1,0,Age_Above_FourtyFive,African_American
379,1,0,0,0,1,Age_Below_TwentyFive,
380,1,0,1,0,0,Age_Below_TwentyFive,Other
381,1,13,1,0,1,Age_Below_TwentyFive,African_American
382,1,1,1,0,1,Age_Below_TwentyFive,African_American
383,1,3,1,0,0,Age_Below_TwentyFive,African_American
384,1,6,1,0,0,Age_Above_FourtyFive,
385,1,1,0,0,0,Age_Below_TwentyFive,
386,1,5,0,0,0,Age_Above_FourtyFive,African_American
387,1,10,1,0,0,Age_Below_TwentyFive,African_American
388,0,5,1,0,0,Age_Below_TwentyFive,African_American
389,0,2,0,0,0,Age_Above_FourtyFive,
390,0,0,0,0,0,Age_Below_TwentyFive,African_American
391,0,6,1,0,0,Age_Below_TwentyFive,African_American
392,1,28,1,0,0,Age_Above_FourtyFive,African_American
393,1,8,1,0,0,Age_Below_TwentyFive,African_American
394,1,6,1,1,0,Age_Below_TwentyFive,African_American
395,0,2,0,0,1,Age_Above_FourtyFive,African_American
396,1,12,1,0,1,Age_Above_FourtyFive,African_American
397,1,1,1,0,1,Age_Below_TwentyFive,
398,0,1,0,0,1,Age_Below_TwentyFive,African_American
399,1,1,1,0,0,Age_Below_TwentyFive,African_American
400,0,0,0,0,0,Age_Above_FourtyFive,
401,0,0,1,0,0,Age_Below_TwentyFive,Hispanic
402,0,3,0,0,0,Age_Below_TwentyFive,
403,0,3,0,0,0,Age_Above_FourtyFive,
404,1,4,1,0,0,Age_Below_TwentyFive,
405,0,0,0,0,0,Age_Above_FourtyFive,
406,1,4,0,0,0,Age_Below_TwentyFive,Hispanic
407,1,1,0,0,0,Age_Above_FourtyFive,
408,0,0,1,0,0,Age_Below_TwentyFive,Asian
409,0,1,0,0,0,Age_Above_FourtyFive,Hispanic
410,0,2,0,0,1,Age_Below_TwentyFive,Hispanic
411,1,6,1,1,0,Age_Below_TwentyFive,
412,1,2,1,0,1,Age_Below_TwentyFive,
413,1,5,1,0,0,Age_Above_FourtyFive,Asian
414,0,1,0,0,0,Age_Below_TwentyFive,African_American
415,0,0,0,1,1,Age_Below_TwentyFive,
416,1,0,0,0,1,Age_Below_TwentyFive,
417,0,0,0,0,1,Age_Above_FourtyFive,African_American
418,1,4,0,0,0,Age_Below_TwentyFive,African_American
419,0,0,0,1,1,Age_Above_FourtyFive,
420,0,0,1,0,0,Age_Below_TwentyFive,African_American
421,1,1,0,0,1,Age_Below_TwentyFive,
422,1,7,1,0,0,Age_Below_TwentyFive,Hispanic
423,0,20,0,0,0,Age_Above_FourtyFive,Hispanic
424,1,33,1,0,0,Age_Above_FourtyFive,African_American
425,0,2,1,0,0,Age_Below_TwentyFive,
426,0,1,0,0,1,Age_Above_FourtyFive,
427,0,1,0,0,0,Age_Below_TwentyFive,
428,0,4,0,0,1,Age_Above_FourtyFive,
429,0,12,1,0,0,Age_Above_FourtyFive,Other
430,0,0,0,1,1,Age_Below_TwentyFive,African_American
431,0,0,0,1,1,Age_Above_FourtyFive,
432,0,7,0,0,1,Age_Below_TwentyFive,Hispanic
433,0,2,0,0,1,Age_Below_TwentyFive,Other
434,0,2,0,0,1,Age_Below_TwentyFive,African_American
435,0,6,0,1,0,Age_Below_TwentyFive,African_American
436,0,0,0,0,1,Age_Below_TwentyFive,Other
437,1,10,1,0,0,Age_Above_FourtyFive,African_American
438,1,5,1,0,0,Age_Below_TwentyFive,African_American
439,0,0,0,0,0,Age_Below_TwentyFive,
440,1,1,1,0,0,Age_Above_FourtyFive,
441,0,4,1,0,1,Age_Above_FourtyFive,African_American
442,1,0,0,0,0,Age_Below_TwentyFive,African_American
443,1,4,0,0,0,Age_Below_TwentyFive,
444,0,0,0,0,0,Age_Below_TwentyFive,
445,0,0,1,0,1,Age_Below_TwentyFive,
446,0,6,0,0,0,Age_Below_TwentyFive,
447,1,1,0,0,1,Age_Below_TwentyFive,African_American
448,0,0,0,0,0,Age_Below_TwentyFive,African_American
449,1,6,0,0,0,Age_Below_TwentyFive,African_American
450,1,1,0,0,0,Age_Below_TwentyFive,
451,1,0,0,0,0,Age_Below_TwentyFive,
452,0,1,0,0,0,Age_Below_TwentyFive,Other
453,0,0,0,0,0,Age_Below_TwentyFive,
454,0,20,1,0,0,Age_Below_TwentyFive,Hispanic
455,0,0,1,0,0,Age_Below_TwentyFive,African_American
456,1,14,1,0,0,Age_Below_TwentyFive,African_American
457,1,9,1,0,1,Age_Below_TwentyFive,
458,1,0,1,0,0,Age_Below_TwentyFive,Hispanic
459,0,1,0,0,1,Age_Above_FourtyFive,
460,1,5,1,0,0,Age_Below_TwentyFive,African_American
461,1,2,0,0,1,Age_Below_TwentyFive,Hispanic
462,1,2,1,0,0,Age_Above_FourtyFive,
463,0,1,0,0,1,Age_Below_TwentyFive,African_American
464,0,2,0,0,0,Age_Below_TwentyFive,
465,0,8,1,0,0,Age_Below_TwentyFive,African_American
466,0,6,1,0,0,Age_Above_FourtyFive,African_American
467,0,3,1,0,0,Age_Below_TwentyFive,African_American
468,0,0,0,1,0,Age_Above_FourtyFive,Other
469,1,3,0,0,0,Age_Below_TwentyFive,African_American
470,1,3,1,0,0,Age_Below_TwentyFive,African_American
471,0,1,0,0,1,Age_Above_FourtyFive,
472,1,3,1,0,0,Age_Below_TwentyFive,African_American
473,0,3,0,0,1,Age_Above_FourtyFive,African_American
474,0,0,0,0,0,Age_Below_TwentyFive,African_American
475,0,1,1,0,0,Age_Below_TwentyFive,
476,1,16,1,0,0,Age_Below_TwentyFive,African_American
477,0,0,0,1,1,Age_Below_TwentyFive,African_American
478,0,1,1,0,0,Age_Below_TwentyFive,African_American
479,1,2,0,0,0,Age_Below_TwentyFive,
480,0,5,0,0,0,Age_Below_TwentyFive,
481,0,8,1,0,0,Age_Below_TwentyFive,Hispanic
482,1,5,0,0,1,Age_Below_TwentyFive,African_American
483,0,11,0,0,1,Age_Below_TwentyFive,
484,1,6,0,1,0,Age_Below_TwentyFive,African_American
485,0,0,0,0,1,Age_Below_TwentyFive,
486,0,15,1,0,0,Age_Below_TwentyFive,African_American
487,0,4,1,0,0,Age_Below_TwentyFive,Hispanic
488,0,0,0,1,1,Age_Below_TwentyFive,African_American
489,0,1,0,0,0,Age_Above_FourtyFive,Hispanic
490,1,2,0,1,1,Age_Above_FourtyFive,
491,1,5,0,0,0,Age_Above_FourtyFive,
492,1,0,0,0,1,Age_Above_FourtyFive,
493,0,0,0,1,1,Age_Above_FourtyFive,
494,1,5,1,0,0,Age_Below_TwentyFive,African_American
495,0,0,0,1,1,Age_Below_TwentyFive,
